stage,feature,selected,score,ranking
filter_variance_threshold,num__first_rank,True,0.9999999999999987,
filter_variance_threshold,num__first_streams,True,1.0000000000000002,
filter_variance_threshold,num__last_rank_obs,True,0.9999999999999962,
filter_variance_threshold,num__last_streams_obs,True,1.0,
filter_variance_threshold,num__obs_days_count,True,0.9999999999999937,
filter_variance_threshold,num__best_rank_7d,True,1.0000000000000033,
filter_variance_threshold,num__worst_rank_7d,True,0.9999999999999982,
filter_variance_threshold,num__mean_rank_7d,True,0.9999999999999986,
filter_variance_threshold,num__median_rank_7d,True,1.0000000000000007,
filter_variance_threshold,num__std_rank_7d,True,1.0000000000000042,
filter_variance_threshold,num__total_streams_7d,True,1.0000000000000002,
filter_variance_threshold,num__mean_streams_7d,True,1.0,
filter_variance_threshold,num__max_streams_7d,True,1.0000000000000004,
filter_variance_threshold,num__std_streams_7d,True,1.000000000000002,
filter_variance_threshold,num__rank_slope_7d,True,1.0000000000000002,
filter_variance_threshold,num__streams_slope_7d,True,1.0000000000000042,
filter_variance_threshold,num__rank_change_7d,True,1.0000000000000075,
filter_variance_threshold,num__streams_growth_abs_7d,True,0.9999999999999981,
filter_variance_threshold,num__streams_growth_pct_7d,True,1.000000000000005,
filter_variance_threshold,num__log_first_streams,True,1.0000000000000009,
filter_variance_threshold,num__log_total_streams_7d,True,1.0000000000000016,
filter_variance_threshold,num__regions_count_obs,False,0.0,
filter_variance_threshold,num__first_month,True,1.0000000000000047,
filter_variance_threshold,num__first_dayofweek,True,0.9999999999999784,
filter_variance_threshold,num__first_quarter,True,0.9999999999999971,
filter_variance_threshold,num__artist_previous_chart_entries,True,0.9999999999999946,
filter_variance_threshold,num__artist_prev_best_rank,True,1.0000000000000053,
filter_variance_threshold,num__artist_prev_mean_streams,True,1.0000000000000047,
filter_variance_threshold,num__artist_is_new,True,0.9999999999999886,
filter_variance_threshold,num__audio_duration_ms,True,1.0000000000000018,
filter_variance_threshold,num__audio_danceability,True,0.9999999999999968,
filter_variance_threshold,num__audio_energy,True,1.0000000000000002,
filter_variance_threshold,num__audio_key,True,1.0000000000000044,
filter_variance_threshold,num__audio_loudness,True,1.0000000000000002,
filter_variance_threshold,num__audio_mode,True,0.9999999999999958,
filter_variance_threshold,num__audio_speechiness,True,0.9999999999999973,
