accuracy,precision,recall,f1,roc_auc,average_precision,log_loss,brier_score,tn,fp,fn,tp,model,split,fold,feature_set,train_rows,valid_rows,train_min_date,train_max_date,valid_min_date,valid_max_date
0.7049180327868853,0.0,0.0,0.0,0.5,0.29508196721311475,10.63583214760834,0.29508196721311475,172,0,72,0,dummy_most_frequent,cv,1,chart_plus_audio,323,244,2017-01-01,2017-10-05,2017-10-06,2018-05-24
0.704119850187266,0.0,0.0,0.0,0.5,0.2958801498127341,10.664601564570244,0.2958801498127341,188,0,79,0,dummy_most_frequent,cv,2,chart_plus_audio,567,267,2017-01-01,2018-05-24,2018-05-25,2019-02-02
0.6518218623481782,0.0,0.0,0.0,0.5,0.3481781376518219,12.549612111190587,0.3481781376518219,161,0,86,0,dummy_most_frequent,cv,3,chart_plus_audio,834,247,2017-01-01,2019-02-02,2019-02-04,2019-12-01
0.75,0.0,0.0,0.0,0.5,0.25,9.010913347279288,0.25,189,0,63,0,dummy_most_frequent,cv,4,chart_plus_audio,1081,252,2017-01-01,2019-12-01,2019-12-06,2020-09-08
0.7102803738317757,0.0,0.0,0.0,0.5,0.2897196261682243,10.442553785632073,0.2897196261682243,152,0,62,0,dummy_most_frequent,cv,5,chart_plus_audio,1333,214,2017-01-01,2020-09-08,2020-09-11,2021-05-14
0.819672131147541,0.6666666666666666,0.7777777777777778,0.717948717948718,0.86781330749354,0.8172416458010632,0.5681616676559026,0.1432507980119889,144,28,16,56,logistic_regression,cv,1,chart_plus_audio,323,244,2017-01-01,2017-10-05,2017-10-06,2018-05-24
0.8426966292134831,0.6796116504854369,0.8860759493670886,0.7692307692307693,0.9129410180447077,0.8854568017955404,0.391798422612213,0.11813555931098645,155,33,9,70,logistic_regression,cv,2,chart_plus_audio,567,267,2017-01-01,2018-05-24,2018-05-25,2019-02-02
0.854251012145749,0.7192982456140351,0.9534883720930233,0.82,0.9485049833887044,0.9104912527917838,0.408193318034268,0.11699826488383859,129,32,4,82,logistic_regression,cv,3,chart_plus_audio,834,247,2017-01-01,2019-02-02,2019-02-04,2019-12-01
0.9087301587301587,0.75,0.9523809523809523,0.8391608391608392,0.9723691945914168,0.9198458530749039,0.26541361825921667,0.07250339594391166,169,20,3,60,logistic_regression,cv,4,chart_plus_audio,1081,252,2017-01-01,2019-12-01,2019-12-06,2020-09-08
0.8551401869158879,0.7123287671232876,0.8387096774193549,0.7703703703703704,0.9143675721561968,0.8291529987832061,0.4108709745559468,0.10589188645388813,131,21,10,52,logistic_regression,cv,5,chart_plus_audio,1333,214,2017-01-01,2020-09-08,2020-09-11,2021-05-14
0.8155737704918032,0.7454545454545455,0.5694444444444444,0.6456692913385826,0.8624838501291988,0.7433052243313669,1.080083407637909,0.13622950819672133,158,14,31,41,knn,cv,1,chart_plus_audio,323,244,2017-01-01,2017-10-05,2017-10-06,2018-05-24
0.8764044943820225,0.8194444444444444,0.7468354430379747,0.7814569536423841,0.9432063021815243,0.8874364145042852,0.26284639320958575,0.08274656679151063,175,13,20,59,knn,cv,2,chart_plus_audio,567,267,2017-01-01,2018-05-24,2018-05-25,2019-02-02
0.8785425101214575,0.8043478260869565,0.8604651162790697,0.8314606741573034,0.9421132457027301,0.8929466601541818,0.9361895709233282,0.08602789023841653,143,18,12,74,knn,cv,3,chart_plus_audio,834,247,2017-01-01,2019-02-02,2019-02-04,2019-12-01
0.9285714285714286,0.835820895522388,0.8888888888888888,0.8615384615384616,0.9687998656252624,0.893107585559262,0.45431637640598554,0.05883597883597883,178,11,7,56,knn,cv,4,chart_plus_audio,1081,252,2017-01-01,2019-12-01,2019-12-06,2020-09-08
0.8411214953271028,0.71875,0.7419354838709677,0.7301587301587301,0.8956918505942275,0.7899983946632618,1.1185560814496358,0.11364485981308411,134,18,16,46,knn,cv,5,chart_plus_audio,1333,214,2017-01-01,2020-09-08,2020-09-11,2021-05-14
0.819672131147541,0.6627906976744186,0.7916666666666666,0.7215189873417721,0.8563065245478036,0.7186667499643,1.9027017461647286,0.13994503584061302,143,29,15,57,decision_tree,cv,1,chart_plus_audio,323,244,2017-01-01,2017-10-05,2017-10-06,2018-05-24
