accuracy,precision,recall,f1,roc_auc,average_precision,log_loss,brier_score,tn,fp,fn,tp,model,split,fold,feature_set,train_rows,valid_rows,train_min_date,train_max_date,valid_min_date,valid_max_date
0.8260869565217391,0.0,0.0,0.0,0.5,0.17391304347826086,6.268461458976896,0.17391304347826086,152,0,32,0,dummy_most_frequent,cv,1,chart_only,251,184,2017-01-01,2017-10-06,2017-10-12,2018-05-25
0.875,0.0,0.0,0.0,0.5,0.125,4.505456673639644,0.125,154,0,22,0,dummy_most_frequent,cv,2,chart_only,435,176,2017-01-01,2018-05-25,2018-06-01,2019-01-25
0.8802395209580839,0.0,0.0,0.0,0.5,0.11976047904191617,4.316605196301455,0.11976047904191617,147,0,20,0,dummy_most_frequent,cv,3,chart_only,611,167,2017-01-01,2019-01-25,2019-01-28,2019-12-13
0.9030303030303031,0.0,0.0,0.0,0.5,0.09696969696969697,3.4951421468234813,0.09696969696969697,149,0,16,0,dummy_most_frequent,cv,4,chart_only,778,165,2017-01-01,2019-12-13,2019-12-23,2020-09-12
0.8601398601398601,0.0,0.0,0.0,0.5,0.13986013986013987,5.041070404072329,0.13986013986013987,123,0,20,0,dummy_most_frequent,cv,5,chart_only,943,143,2017-01-01,2020-09-12,2020-09-15,2021-05-20
0.7934782608695652,0.425,0.53125,0.4722222222222222,0.7650082236842105,0.4413922972662915,0.5279355240205732,0.1551388251544516,129,23,15,17,logistic_regression,cv,1,chart_only,251,184,2017-01-01,2017-10-06,2017-10-12,2018-05-25
0.7272727272727273,0.3142857142857143,1.0,0.4782608695652174,0.9341794569067297,0.6363320056948243,0.6594708399139088,0.20744763602514868,106,48,0,22,logistic_regression,cv,2,chart_only,435,176,2017-01-01,2018-05-25,2018-06-01,2019-01-25
0.7604790419161677,0.3148148148148148,0.85,0.4594594594594595,0.8799319727891157,0.4342733511696859,0.5739226965681556,0.1743549464333534,110,37,3,17,logistic_regression,cv,3,chart_only,611,167,2017-01-01,2019-01-25,2019-01-28,2019-12-13
0.8666666666666667,0.40625,0.8125,0.5416666666666666,0.9270134228187918,0.5552947903289843,0.36825736070210663,0.10569029586274122,130,19,3,13,logistic_regression,cv,4,chart_only,778,165,2017-01-01,2019-12-13,2019-12-23,2020-09-12
0.8391608391608392,0.4444444444444444,0.6,0.5106382978723404,0.8170731707317074,0.5027551828538789,0.4466096338925649,0.13859768482769552,108,15,8,12,logistic_regression,cv,5,chart_only,943,143,2017-01-01,2020-09-12,2020-09-15,2021-05-20
0.8260869565217391,0.5,0.09375,0.15789473684210525,0.7033305921052632,0.3407316279366916,1.5002398101929533,0.13717391304347828,149,3,29,3,knn,cv,1,chart_only,251,184,2017-01-01,2017-10-06,2017-10-12,2018-05-25
0.8920454545454546,0.8,0.18181818181818182,0.2962962962962963,0.8569952774498228,0.484493404731018,0.45446494081608096,0.08217171717171719,153,1,18,4,knn,cv,2,chart_only,435,176,2017-01-01,2018-05-25,2018-06-01,2019-01-25
0.874251497005988,0.3333333333333333,0.05,0.08695652173913043,0.7452380952380953,0.27550929149453035,0.9053760277698047,0.09679308050565538,145,2,19,1,knn,cv,3,chart_only,611,167,2017-01-01,2019-01-25,2019-01-28,2019-12-13
0.9212121212121213,1.0,0.1875,0.3157894736842105,0.8152265100671141,0.42831133230519913,0.43929670283701633,0.07132659932659932,149,0,13,3,knn,cv,4,chart_only,778,165,2017-01-01,2019-12-13,2019-12-23,2020-09-12
0.8601398601398601,0.5,0.05,0.09090909090909091,0.7250000000000001,0.31735890920673526,1.2681546312135055,0.11229215229215231,122,1,19,1,knn,cv,5,chart_only,943,143,2017-01-01,2020-09-12,2020-09-15,2021-05-20
0.7445652173913043,0.36363636363636365,0.625,0.45977011494252873,0.7393092105263157,0.3941511387163561,2.180955640283369,0.19653495028586873,117,35,12,20,decision_tree,cv,1,chart_only,251,184,2017-01-01,2017-10-06,2017-10-12,2018-05-25
